,序号,出现频率最高的地址,最高重复次数,各数据出现次数
5458,5459,北京市朝阳区呼家楼南里30号楼,1,{'北京市朝阳区呼家楼南里30号楼': 1}
5459,5460,北京市朝阳区呼家楼南里4号,1,{'北京市朝阳区呼家楼南里4号': 1}
5460,5461,北京市朝阳区呼家楼西里南街2号,1,{'北京市朝阳区呼家楼西里南街2号': 1}
5461,5462,北京市朝阳区呼家楼向军北里6号108室,1,{'北京市朝阳区呼家楼向军北里6号108室': 1}
5462,5463,北京市朝阳区呼家楼中学内,1,{'北京市朝阳区呼家楼中学内': 1}
5463,5464,北京市朝阳区金台北街1号楼底商一层南侧,1,{'北京市朝阳区金台北街1号楼底商一层南侧': 1}
5464,5465,北京市朝阳区金台北街１号楼一层１０１５室,1,{'北京市朝阳区金台北街１号楼一层１０１５室': 1}
5465,5466,北京市朝阳区金台里3号楼南,1,{'北京市朝阳区金台里3号楼南': 1}
5466,5467,北京市朝阳区金台里甲15号一层,1,{'北京市朝阳区金台里甲15号一层': 1}
5467,5468,北京市朝阳区金台里甲9号,1,{'北京市朝阳区金台里甲9号': 1}
5468,5469,北京市朝阳区金台西路2号,1,{'北京市朝阳区金台西路2号': 1}
5469,5470,北京市朝阳区金台西路8号2幢首层,1,{'北京市朝阳区金台西路8号2幢首层': 1}
5470,5471,北京市朝阳区向军北里6号楼1层107室,1,{'北京市朝阳区向军北里6号楼1层107室': 1}
5471,5472,北京市朝阳区向军南里2巷5号4楼209室(,1,"{'北京市朝阳区向军南里2巷5号4楼209室(': 1, '北京呼家楼力行宾馆有限公司)': 1}"
5472,5473,北京市朝阳区霄云里8号楼1单元12层1501内063,1,{'北京市朝阳区霄云里8号楼1单元12层1501内063': 1}
5473,5474,北京市朝阳区小庄东里37号,1,{'北京市朝阳区小庄东里37号': 1}
5474,5475,北京市朝阳区东大桥路8号1楼912室,1,{'北京市朝阳区东大桥路8号1楼912室': 1}
5475,5476,北京市朝阳区东三环北路19号楼14层1701内05室,1,{'北京市朝阳区东三环北路19号楼14层1701内05室': 1}
5476,5477,北京市朝阳区东大桥路8号1楼2101室,1,{'北京市朝阳区东大桥路8号1楼2101室': 1}
5477,5478,北京市朝阳区小庄宿舍区,1,{'北京市朝阳区小庄宿舍区': 1}
5478,5479,北京市朝阳区朝外大街20号联合大厦810室,1,{'北京市朝阳区朝外大街20号联合大厦810室': 1}
5479,5480,北京市朝阳区景华南街5号远洋光华中心C座3层、6层,1,{'北京市朝阳区景华南街5号远洋光华中心C座3层、6层': 1}
5480,5481,北京市朝阳区工人体育场北路工人体育场内东南,1,"{'北京市朝阳区工人体育场北路工人体育场内东南': 1, '北京工体富国海底世界办公楼南１号房间': 1}"
5481,5482,北京市朝阳区工体东路13号楼院内,1,{'北京市朝阳区工体东路13号楼院内': 1}
5482,5483,北京市朝阳区景华南街5号12层(11)1208,1,{'北京市朝阳区景华南街5号12层(11)1208': 1}
5483,5484,北京市朝阳区日坛北路7号1幢4层401号,1,{'北京市朝阳区日坛北路7号1幢4层401号': 1}
5484,5485,北京市朝阳区金台里甲15号二层2-19,1,{'北京市朝阳区金台里甲15号二层2-19': 1}
5485,5486,北京市朝阳区东大桥路8号1楼916室,1,{'北京市朝阳区东大桥路8号1楼916室': 1}
5486,5487,北京市朝阳区东三环中路39号院16号楼1至2层1609-2-D,1,{'北京市朝阳区东三环中路39号院16号楼1至2层1609-2-D': 1}
5487,5488,北京市朝阳区东三环北路甲26号楼4层D49室,1,{'北京市朝阳区东三环北路甲26号楼4层D49室': 1}
5488,5489,北京市朝阳区东大桥路8号1楼2607室,1,{'北京市朝阳区东大桥路8号1楼2607室': 1}
5489,5490,北京市朝阳区关东店11号楼四层(呼家楼集中办公区271号),1,{'北京市朝阳区关东店11号楼四层(呼家楼集中办公区271号)': 1}
5490,5491,北京市朝阳区朝外大街乙6号6层0711,1,{'北京市朝阳区朝外大街乙6号6层0711': 1}
5491,5492,北京市朝阳区关东店２４号,1,{'北京市朝阳区关东店２４号': 1}
5492,5493,北京市朝阳区光华路15号院1号楼9层901-908,3,"{'北京市朝阳区光华路15号院1号楼9层901-908': 3, '北京市朝阳区光华路15号院1号楼9层908': 1}"
5493,5494,北京市朝阳区金台里甲9号,4,{'北京市朝阳区金台里甲9号': 4}
5494,5495,北京市通州区中关村科技园区通州园金桥科技产业基地景盛南四街13号20号厂房,4,"{'北京市通州区中关村科技园区通州园金桥科技产业基地景盛南四街13号20号厂房': 4, '北京市朝阳区建国门外大街甲6号中环世贸中心D座1808室': 1}"
5495,5496,北京市朝阳区景华南街5号远洋光华中心C座3层、6层,4,{'北京市朝阳区景华南街5号远洋光华中心C座3层、6层': 4}
5496,5497,北京市朝阳区金台西路2号,5,{'北京市朝阳区金台西路2号': 5}
5497,5498,北京市朝阳区东大桥路8号院3号楼2层2211,2,{'北京市朝阳区东大桥路8号院3号楼2层2211': 2}
5498,5499,北京市朝阳区向军北里6号楼1层107室,4,{'北京市朝阳区向军北里6号楼1层107室': 4}
5499,5500,北京市朝阳区光华路1号(商业写字楼)2层207单元,3,{'北京市朝阳区光华路1号(商业写字楼)2层207单元': 3}
5500,5501,北京市朝阳区东大桥路8号2号楼5层501,3,{'北京市朝阳区东大桥路8号2号楼5层501': 3}
5501,5502,北京市朝阳区关东店化石营14号,4,"{'北京市朝阳区关东店化石营14号': 4, '北京市朝阳区关东店北街关东店化石营东巷14号': 2}"
5502,5503,北京市朝阳区金台里3号楼南,5,{'北京市朝阳区金台里3号楼南': 5}
5503,5504,北京市朝阳区呼家楼南里4号,5,{'北京市朝阳区呼家楼南里4号': 5}
5504,5505,北京市朝阳区光华路9号2号楼1层M101,3,"{'北京市朝阳区光华路9号2号楼1层M101': 3, '北京市朝阳区光华路９号２号楼１层Ｍ１０１＋Ｍ１０２＋Ｍ１０３': 1, '北京市朝阳区光华路9号2号楼1层M101+M102+M103': 1}"
5505,5506,北京市朝阳区朝阳门外大街6号院26号楼1层105,4,{'北京市朝阳区朝阳门外大街6号院26号楼1层105': 4}
5506,5507,北京市朝阳区东大桥路8号尚都国际2310室,1,"{'北京市朝阳区东大桥路8号尚都国际2310室': 1, '北京市朝阳区东大桥路8号1楼2706、2707': 1}"
5507,5508,北京市朝阳区东大桥路8号2号楼四层1420室,3,"{'北京市朝阳区东大桥路8号2号楼四层1420室': 3, '北京市朝阳区东大桥路８号２号楼四层１４２０室': 1}"
5508,5509,北京市朝阳区东三环北路19号楼14层1701内05室,4,{'北京市朝阳区东三环北路19号楼14层1701内05室': 4}
5509,5510,北京市朝阳区光华路9号楼9层907室,4,{'北京市朝阳区光华路9号楼9层907室': 4}
5510,5511,北京市朝阳区朝外大街20号联合大厦810室,2,"{'北京市朝阳区朝外大街20号联合大厦810室': 2, '北京朝阳朝外大街20号联合大厦810室': 1}"
5511,5512,北京市朝阳区东大桥路8号院3号楼12层1205,3,{'北京市朝阳区东大桥路8号院3号楼12层1205': 3}
5512,5513,北京市朝阳区金台里甲15号一层,2,"{'北京市朝阳区金台里甲15号一层': 2, '北京市朝阳区金台里甲１５号一层': 1}"
5513,5514,北京市朝阳区工体东路20号裙楼一楼部分B-C单元,3,{'北京市朝阳区工体东路20号裙楼一楼部分B-C单元': 3}
5514,5515,北京市朝阳区金台西路8号2幢首层,3,{'北京市朝阳区金台西路8号2幢首层': 3}
5515,5516,北京市朝阳区光华路9号1号楼B1K5室,4,{'北京市朝阳区光华路9号1号楼B1K5室': 4}
5516,5517,北京市朝阳区金台北街1号楼底商一层南侧,2,"{'北京市朝阳区金台北街1号楼底商一层南侧': 2, '北京市朝阳区金台北街１号楼底商一层南侧': 1}"
5517,5518,北京市朝阳区朝外大街乙6号朝外SOHO4层05110,4,{'北京市朝阳区朝外大街乙6号朝外SOHO4层05110': 4}
5518,5519,北京市朝阳区小庄宿舍区,3,{'北京市朝阳区小庄宿舍区': 3}
5519,5520,北京市朝阳区朝外大街16号中国人寿大厦206室,3,{'北京市朝阳区朝外大街16号中国人寿大厦206室': 3}
5520,5521,北京市朝阳区呼家楼西里南街2号,4,{'北京市朝阳区呼家楼西里南街2号': 4}
5521,5522,北京市朝阳区东大桥路8号1楼2101室,4,{'北京市朝阳区东大桥路8号1楼2101室': 4}
5522,5523,北京市朝阳区呼家楼向军北里6号108室,3,{'北京市朝阳区呼家楼向军北里6号108室': 3}
5523,5524,北京市朝阳区神路街33号朝外们写字中心B座2808室,3,{'北京市朝阳区神路街33号朝外们写字中心B座2808室': 3}
5524,5525,北京市朝阳区东大桥路8号1楼912室,3,"{'北京市朝阳区东大桥路8号1楼912室': 3, '北京市朝阳区东大桥路8号１楼９１２室': 1}"
5525,5526,北京市朝阳区向军南里2巷5号4楼209室(,3,"{'北京市朝阳区向军南里2巷5号4楼209室(': 3, '北京呼家楼力行宾馆有限公司)': 3}"
5526,5527,北京市朝阳区光华路8号3层,4,{'北京市朝阳区光华路8号3层': 4}
5527,5528,北京市朝阳区白家庄路6号,3,{'北京市朝阳区白家庄路6号': 3}
5528,5529,北京市朝阳区东大桥路8号3楼3层SH-2373,3,"{'北京市朝阳区东大桥路8号3楼3层SH-2373': 3, '北京市朝阳区东大桥路８号３楼３层ＳＨ－２３７３': 1}"
5529,5530,北京市朝阳区朝阳门外大街甲6号9层3座901-902室,2,{'北京市朝阳区朝阳门外大街甲6号9层3座901-902室': 2}
5530,5531,北京市朝阳区呼家楼西里２１－４－１０７,1,"{'北京市朝阳区呼家楼西里２１－４－１０７': 1, '北京市朝阳区呼家楼西里21-4-107': 1}"
5531,5532,北京市朝阳区呼家楼农丰里1号楼对面平房,1,{'北京市朝阳区呼家楼农丰里1号楼对面平房': 1}
5532,5533,北京市朝阳区金台里3号楼南,2,{'北京市朝阳区金台里3号楼南': 2}
5533,5534,北京市朝阳区朝外大街乙6号朝外SOHO7层0801,1,{'北京市朝阳区朝外大街乙6号朝外SOHO7层0801': 1}
5534,5535,北京市朝阳区朝外大街乙6号1层05076,2,{'北京市朝阳区朝外大街乙6号1层05076': 2}
5535,5536,北京市朝阳区工体东路20号5层502-1896号,3,"{'北京市朝阳区工体东路20号5层502-1896号': 3, '北京市朝阳区工体东路２０号５层５０２－１８９６号': 1}"
5536,5537,北京市朝阳区东大桥路8号院2号楼4层1418-B,1,{'北京市朝阳区东大桥路8号院2号楼4层1418-B': 1}
5537,5538,北京市朝阳区农丰里6号(住宅)楼1102室,3,"{'北京市朝阳区农丰里6号(住宅)楼1102室': 3, '北京市朝阳区农丰里６号（住宅）楼１１０２室': 1}"
5538,5539,北京市朝阳区东大桥路8号3号楼一层2105、2121号,1,{'北京市朝阳区东大桥路8号3号楼一层2105、2121号': 1}
5539,5540,北京市朝阳区呼家楼新街大院6号楼北,2,{'北京市朝阳区呼家楼新街大院6号楼北': 2}
5540,5541,北京市朝阳区光华路1号,2,"{'北京市朝阳区光华路1号': 2, '北京嘉里中心商场首层108A单元': 2, '北京市朝阳区光华路１号': 1, '北京嘉里中心商场首层１０８Ａ单元': 1}"
5541,5542,北京市朝阳区东三环北路38号院1号楼23层2701,1,{'北京市朝阳区东三环北路38号院1号楼23层2701': 1}
5542,5543,东三环中路7号财富中心A座,1,{'东三环中路7号财富中心A座': 1}
5543,5544,北京市朝阳区东三环中路７号４号楼８层９０８Ａ室,1,"{'北京市朝阳区东三环中路７号４号楼８层９０８Ａ室': 1, '北京市朝阳区东三环中路7号财富中心写字楼A908': 1, '北京市朝阳区东三环中路7号4号楼8层908A室': 1}"
5544,5545,北京市朝阳区东大桥路8号１楼９１２室,1,{'北京市朝阳区东大桥路8号１楼９１２室': 1}
5545,5546,北京市朝阳区东三环北路19号楼6层601内01室,2,"{'北京市朝阳区东三环北路19号楼6层601内01室': 2, '北京市朝阳区东三环北路１９号楼６层６０１内０１室': 1, '北京市朝阳区东三环北路19号6层601内01室': 1}"
5546,5547,北京市朝阳区东大桥路9号楼2单元1101室B03-B04单元,1,{'北京市朝阳区东大桥路9号楼2单元1101室B03-B04单元': 1}
5547,5548,北京市朝阳区呼家楼南里1号,1,{'北京市朝阳区呼家楼南里1号': 1}
5548,5549,北京市朝阳区关东店11号楼四层(呼家楼集中办公区074号),1,{'北京市朝阳区关东店11号楼四层(呼家楼集中办公区074号)': 1}
5549,5550,北京市朝阳区光华路甲14号101号店铺,1,{'北京市朝阳区光华路甲14号101号店铺': 1}
5550,5551,北京市朝阳区呼家楼农丰里1号楼对面平房,1,{'北京市朝阳区呼家楼农丰里1号楼对面平房': 1}
5551,5552,北京市朝阳区朝阳北路101号楼地下一层(-1)-101内T-B115号,1,{'北京市朝阳区朝阳北路101号楼地下一层(-1)-101内T-B115号': 1}
5552,5553,北京市朝阳区白家庄西里26号,1,{'北京市朝阳区白家庄西里26号': 1}
5553,5554,北京市朝阳区白家庄东里23号C座地下一层6号-2号,1,{'北京市朝阳区白家庄东里23号C座地下一层6号-2号': 1}
5554,5555,北京市朝阳区红庙北里93楼1-3-2号,1,{'北京市朝阳区红庙北里93楼1-3-2号': 1}
5555,5556,北京市朝阳区姚家园,1,{'北京市朝阳区姚家园': 1}
5556,5557,北京市朝阳区农丰里6号(住宅)楼1102室,1,{'北京市朝阳区农丰里6号(住宅)楼1102室': 1}
5557,5558,北京市朝阳区朝阳北路101号楼3F-39A,1,{'北京市朝阳区朝阳北路101号楼3F-39A': 1}
5558,5559,北京市朝阳区呼家楼新街大院6号楼北,1,{'北京市朝阳区呼家楼新街大院6号楼北': 1}
5559,5560,北京市朝阳区西大望路3号院2号楼1层S-109号,1,{'北京市朝阳区西大望路3号院2号楼1层S-109号': 1}
5560,5561,北京市朝阳区东大桥路8号1楼2607室,1,{'北京市朝阳区东大桥路8号1楼2607室': 1}
5561,5562,北京市朝阳区关东店11号楼四层(呼家楼集中办公区271号),1,{'北京市朝阳区关东店11号楼四层(呼家楼集中办公区271号)': 1}
5562,5563,北京市朝阳区朝外大街乙6号6层0711,1,{'北京市朝阳区朝外大街乙6号6层0711': 1}
5563,5564,北京市朝阳区景华南街5号12层(11)1208,1,{'北京市朝阳区景华南街5号12层(11)1208': 1}
5564,5565,北京市朝阳区日坛北路7号1幢4层401号,1,{'北京市朝阳区日坛北路7号1幢4层401号': 1}
5565,5566,北京市朝阳区金台里甲15号二层2-19,1,{'北京市朝阳区金台里甲15号二层2-19': 1}
5566,5567,北京市朝阳区东大桥路8号1楼916室,1,{'北京市朝阳区东大桥路8号1楼916室': 1}
5567,5568,北京市朝阳区东三环中路39号院16号楼1至2层1609-2-D,1,{'北京市朝阳区东三环中路39号院16号楼1至2层1609-2-D': 1}
5568,5569,北京市朝阳区东三环北路甲26号楼4层D49室,1,{'北京市朝阳区东三环北路甲26号楼4层D49室': 1}
5569,5570,北京市朝阳区关东店24号,1,{'北京市朝阳区关东店24号': 1}
5570,5571,北京市朝阳区呼家楼街道办事处呼家楼南社区居委会朝阳北路231号院,1,{'北京市朝阳区呼家楼街道办事处呼家楼南社区居委会朝阳北路231号院': 1}
5571,5572,北京市朝阳区呼家楼街道办事处小庄社区居委会东三环呼家楼桥北侧主路桥下,1,{'北京市朝阳区呼家楼街道办事处小庄社区居委会东三环呼家楼桥北侧主路桥下': 1}
5572,5573,北京市朝阳区东三环北路38号院四号楼16层1601-E,1,{'北京市朝阳区东三环北路38号院四号楼16层1601-E': 1}
5573,5574,北京市朝阳区金盏乡金盏大街2号,5,{'北京市朝阳区金盏乡金盏大街2号': 5}
5574,5575,北京市朝阳区金盏乡皮村甲1号3号楼1层,3,"{'北京市朝阳区金盏乡皮村甲1号3号楼1层': 3, '北京市朝阳区金盏乡皮村甲１号３号楼１层': 1}"
5575,5576,北京市朝阳区南湖南路15号院甲3号楼2层2号-49,3,"{'北京市朝阳区南湖南路15号院甲3号楼2层2号-49': 3, '北京市朝阳区酒仙桥路14号院5号楼1至7层101内5层507号': 1}"
5576,5577,北京市朝阳区金盏乡长店村,4,{'北京市朝阳区金盏乡长店村': 4}
5577,5578,北京市朝阳区金盏乡金盏西大队村,4,"{'北京市朝阳区金盏乡金盏西大队村': 4, '北京市朝阳区金盏乡西村': 1}"
5578,5579,北京市朝阳区金盏乡长店村西,3,{'北京市朝阳区金盏乡长店村西': 3}
5579,5580,北京市朝阳区金盏路,3,"{'北京市朝阳区金盏路': 3, '北京市朝阳区金盏乡金盏路朝阳区金盏路': 1}"
5580,5581,北京市朝阳区金盏乡北马坊村,2,"{'北京市朝阳区金盏乡北马坊村': 2, '北京市朝阳区金盏乡北马坊村朝阳区金盏乡北马坊村': 1}"
5581,5582,北京市朝阳区金盏乡北马坊,3,"{'北京市朝阳区金盏乡北马坊': 3, '北京市朝阳区金盏乡北马坊金盏乡北马坊': 1}"
5582,5583,北京市朝阳区金盏西大队村,5,{'北京市朝阳区金盏西大队村': 5}
5583,5584,北京市朝阳区金盏乡雷庄村,3,"{'北京市朝阳区金盏乡雷庄村': 3, '北京市朝阳区金盏乡雷庄村金盏乡雷庄村': 1}"
5584,5585,北京市朝阳区金盏乡马各庄村西,4,{'北京市朝阳区金盏乡马各庄村西': 4}
5585,5586,北京市朝阳区金盏乡楼梓庄北,3,"{'北京市朝阳区金盏乡楼梓庄北': 3, '北京市朝阳区楼梓庄北': 2}"
5586,5587,北京市朝阳区金盏乡楼梓庄村北,5,{'北京市朝阳区金盏乡楼梓庄村北': 5}
5587,5588,北京市朝阳区楼梓庄曹各庄村北,2,"{'北京市朝阳区楼梓庄曹各庄村北': 2, '北京市朝阳区金盏乡曹各庄村北朝阳区楼梓庄乡曹各庄村北': 1}"
5588,5589,北京市朝阳区楼梓庄乡黎各庄村西,2,{'北京市朝阳区楼梓庄乡黎各庄村西': 2}
5589,5590,北京市朝阳区黎各庄村西南,3,"{'北京市朝阳区黎各庄村西南': 3, '北京市朝阳区金盏黎各庄村西南': 1}"
5590,5591,北京市朝阳区金盏乡马各庄村,2,"{'北京市朝阳区金盏乡马各庄村': 2, '北京市朝阳区金盏乡马各庄': 2}"
5591,5592,北京市朝阳区金盏乡马各庄村,5,{'北京市朝阳区金盏乡马各庄村': 5}
5592,5593,北京市朝阳区金盏乡马各庄村,5,{'北京市朝阳区金盏乡马各庄村': 5}
5593,5594,北京市朝阳区金盏乡沙窝村,3,"{'北京市朝阳区金盏乡沙窝村': 3, '北京市朝阳区金盏乡沙窝村朝阳区金盏乡沙窝村': 1}"
5594,5595,北京市朝阳区金盏乡马各庄村,5,{'北京市朝阳区金盏乡马各庄村': 5}
5595,5596,北京市朝阳区金盏乡马各庄村,5,{'北京市朝阳区金盏乡马各庄村': 5}
5596,5597,北京市朝阳区金盏乡皮村工业区,4,{'北京市朝阳区金盏乡皮村工业区': 4}
5597,5598,北京市朝阳区金盏乡皮村工业区,5,{'北京市朝阳区金盏乡皮村工业区': 5}
5598,5599,北京市朝阳区金盏乡沙窝村,4,"{'北京市朝阳区金盏乡沙窝村': 4, '北京市朝阳区金盏乡沙窝村南': 1}"
5599,5600,北京市朝阳区平房乡石各庄,3,"{'北京市朝阳区平房乡石各庄': 3, '北京市朝阳区金盏乡马各庄村南': 1}"
5600,5601,北京市朝阳区金盏乡北马房东苇路18号,4,{'北京市朝阳区金盏乡北马房东苇路18号': 4}
5601,5602,北京市朝阳区马各庄工业区6号,3,"{'北京市朝阳区马各庄工业区6号': 3, '北京市朝阳区金盏乡马各庄工业区6号朝阳区马各庄工业区6号': 1}"
5602,5603,北京市朝阳区东苇路,3,"{'北京市朝阳区东苇路': 3, '北京朝阳区东苇路': 1}"
5603,5604,北京市朝阳区金盏乡皮村惠普路16号院,3,{'北京市朝阳区金盏乡皮村惠普路16号院': 3}
5604,5605,北京市朝阳区金盏乡沙窝村建筑队院内,3,{'北京市朝阳区金盏乡沙窝村建筑队院内': 3}
5605,5606,北京市朝阳区楼梓庄乡马各庄村,4,"{'北京市朝阳区楼梓庄乡马各庄村': 4, '北京市朝阳区金盏乡马各庄村南': 1}"
5606,5607,北京市朝阳区金盏乡沙窝村345号,2,"{'北京市朝阳区楼梓庄乡曹各庄': 1, '北京市朝阳区金盏乡沙窝村345号': 2}"
5607,5608,北京市朝阳区金盏乡金盏西村村南(村委会以南300米),3,{'北京市朝阳区金盏乡金盏西村村南(村委会以南300米)': 3}
5608,5609,北京市朝阳区金盏乡金盏西村村南(村委会以南300米),2,"{'北京市朝阳区金盏乡金盏西村村南(村委会以南300米)': 2, '北京市朝阳区金盏乡金盏西村村南（村委会南300米）': 1, '北京朝阳区金盏乡金盏西村村南(村委会以南300米)': 1}"
5609,5610,北京市朝阳区楼梓庄乡皮村,3,"{'北京市朝阳区楼梓庄乡皮村': 3, '北京市朝阳区金盏乡皮村': 1}"
5610,5611,北京市朝阳区楼梓庄乡马各庄村北侧,4,"{'北京市朝阳区楼梓庄乡马各庄村北侧': 4, '北京市朝阳区金盏乡马各庄村东侧': 1}"
5611,5612,北京市朝阳区金盏乡东窑村村西,5,{'北京市朝阳区金盏乡东窑村村西': 5}
5612,5613,北京市朝阳区金盏乡楼梓庄村北,2,"{'北京市朝阳区金盏乡楼梓庄村北': 2, '北京市朝阳区楼梓庄乡楼梓庄村北': 2}"
5613,5614,北京市朝阳区金盏乡楼梓庄村北,3,{'北京市朝阳区金盏乡楼梓庄村北': 3}
5614,5615,北京市朝阳区金盏乡曹各庄村,5,{'北京市朝阳区金盏乡曹各庄村': 5}
5615,5616,黎各庄村东,1,"{'黎各庄村东': 1, '北京市朝阳区金盏乡黎各庄村（京运铸造厂西南角）': 1, '北京市朝阳区金盏乡黎各庄村(京运铸造厂西南角)': 1}"
5616,5617,北京市朝阳区楼梓庄乡黎各庄村西,4,"{'北京市朝阳区楼梓庄乡黎各庄村西': 4, '北京市朝阳区金盏乡黎各庄村西': 1}"
5617,5618,北京市朝阳区楼梓庄乡皮村村南,3,"{'北京市朝阳区楼梓庄乡皮村村南': 3, '北京市朝阳区金盏乡皮村村南': 1}"
5618,5619,北京市朝阳区金盏乡雷庄东,2,"{'北京市朝阳区金盏乡雷庄东': 2, '北京市朝阳区金盏地区办事处雷庄村雷庄东': 1, '北京市朝阳区金盏地区办事处雷庄村雷庄东朝阳区金盏乡雷庄东': 1}"
5619,5620,北京市朝阳区金盏乡马各庄村南,4,"{'北京市朝阳区金盏乡马各庄村南': 4, '北京市朝阳区金盏乡马各庄村': 1}"
5620,5621,北京市朝阳区金盏乡曹各庄村北,5,{'北京市朝阳区金盏乡曹各庄村北': 5}
5621,5622,北京市朝阳区楼梓庄乡皮村路南朝阳农场,3,"{'北京市朝阳区楼梓庄乡皮村路南朝阳农场': 3, '北京市朝阳区楼梓乡皮村路南朝阳农场': 1}"
5622,5623,北京市朝阳区金盏乡马各庄村,2,"{'北京市朝阳区金盏乡马各庄村': 2, '北京市朝阳区金盏乡马各庄东高路朝阳区楼梓庄乡马各庄村': 1}"
5623,5624,北京市朝阳区金盏乡小店村甲1号,3,"{'北京市朝阳区金盏乡小店村甲1号': 3, '北京市朝阳区金盏乡小店村甲1号朝阳区金盏乡小店村甲1号': 1}"
5624,5625,北京市朝阳区金盏乡皮村,4,{'北京市朝阳区金盏乡皮村': 4}
5625,5626,北京市朝阳区金盏乡金盏西大队村村西,4,{'北京市朝阳区金盏乡金盏西大队村村西': 4}
5626,5627,北京市朝阳区金盏乡东窑村北,4,{'北京市朝阳区金盏乡东窑村北': 4}
5627,5628,北京市朝阳区金盏乡马各庄村,1,"{'北京市朝阳区金盏乡马各庄村': 1, '北京市朝阳区平房乡石各庄村甲６９号': 1, '北京市朝阳区平房乡石各庄村甲69号': 1}"
5628,5629,北京市朝阳区金盏乡马各庄村焦沙路南,1,"{'北京市朝阳区金盏乡马各庄村焦沙路南': 1, '北京市朝阳区金盏乡马各庄村南': 1}"
5629,5630,北京市朝阳嘉区金盏乡高安屯无害化处理中心内,1,"{'北京市朝阳嘉区金盏乡高安屯无害化处理中心内': 1, '北京市朝阳区金盏乡高安屯无害化处理中心内': 1}"
5630,5631,北京市朝阳区金盏乡长店村西,2,{'北京市朝阳区金盏乡长店村西': 2}
5631,5632,北京市朝阳区金盏乡长店村西,3,"{'北京市朝阳区金盏乡长店村西': 3, '北京市朝阳区金盏乡长店村西长店村西': 1}"
5632,5633,北京市朝阳区金盏乡楼梓庄中心街2号,3,"{'北京市朝阳区金盏乡楼梓庄中心街2号': 3, '北京市朝阳区金盏乡楼梓庄中心街2号朝阳区楼辛庄村中心街2号': 1}"
5633,5634,北京市朝阳区楼梓庄乡沙窝村,2,"{'北京市朝阳区金盏乡沙窝村西': 1, '北京市朝阳区楼梓庄乡沙窝村': 2}"
5634,5635,北京市朝阳区金盏乡张万坟村,3,"{'北京市朝阳区金盏乡张万坟村': 3, '北京市朝阳区金盏乡长店村张万坟村朝阳区金盏乡张万坟村': 1}"
5635,5636,北京市朝阳区金盏乡张万坟村金航盛公司东门院内,4,{'北京市朝阳区金盏乡张万坟村金航盛公司东门院内': 4}
5636,5637,北京市朝阳区金盏乡长店村707号,3,"{'北京市朝阳区金盏乡长店村707号': 3, '北京市朝阳区金盏乡长店村７０７号': 1}"
5637,5638,北京市朝阳区金盏乡长店村北街62号,3,"{'北京市朝阳区金盏乡长店村北街62号': 3, '北京市朝阳区金盏乡长店村北街62号朝阳区金盏乡长店村北街62号': 1}"
5638,5639,北京市朝阳区马各庄南工业区A区11号,2,"{'北京市朝阳区金盏乡马各庄村南': 1, '北京市朝阳区马各庄南工业区A区11号': 2}"
5639,5640,北京市朝阳区姚家园西口265号,4,"{'北京市朝阳区姚家园西口265号': 4, '北京市朝阳区金盏乡东窑村南': 1}"
5640,5641,北京市朝阳区金盏乡长店村西乙8号,3,{'北京市朝阳区金盏乡长店村西乙8号': 3}
5641,5642,北京市朝阳区金盏乡皮村大街１６号,1,"{'北京市朝阳区金盏乡皮村大街１６号': 1, '北京市朝阳区金盏乡皮村大街16号': 1}"
5642,5643,北京市朝阳区金盏乡马各庄村176号,2,{'北京市朝阳区金盏乡马各庄村176号': 2}
5643,5644,北京市朝阳区金盏乡沙窝村村西,3,{'北京市朝阳区金盏乡沙窝村村西': 3}
5644,5645,北京市朝阳区金盏乡东窑工业园,4,{'北京市朝阳区金盏乡东窑工业园': 4}
5645,5646,北京市朝阳区金盏乡马各庄村南,2,"{'北京市朝阳区金盏乡马各庄村南马各庄村南': 1, '北京市朝阳区金盏乡马各庄村南': 2}"
5646,5647,北京市朝阳区金盏乡西村382号,3,{'北京市朝阳区金盏乡西村382号': 3}
5647,5648,北京市朝阳区金盏乡金盏大街路南田华二公司院南二号院,3,{'北京市朝阳区金盏乡金盏大街路南田华二公司院南二号院': 3}
5648,5649,北京市朝阳区金盏乡楼梓庄中心街南侧,1,"{'北京市朝阳区金盏乡楼梓庄中心街南侧': 1, '北京市朝阳区朝阳路8号3层1单元320': 1}"
5649,5650,北京市朝阳区金盏乡北马房村东苇路东,4,{'北京市朝阳区金盏乡北马房村东苇路东': 4}
5650,5651,北京市朝阳区金盏乡马各庄村村东口,4,{'北京市朝阳区金盏乡马各庄村村东口': 4}
5651,5652,北京市朝阳区金盏乡皮村后街8号平房,2,"{'北京市朝阳区金盏乡皮村后街8号平房': 2, '北京市朝阳区金盏乡皮村后街８号平房': 1}"
5652,5653,北京市朝阳区金盏皮村工业区158号一层,5,{'北京市朝阳区金盏皮村工业区158号一层': 5}
5653,5654,北京市朝阳区金盏乡皮村西北,4,"{'北京市朝阳区金盏乡皮村西北': 4, '北京市朝阳区金盏地区办事处皮村皮村村北': 2}"
5654,5655,北京市朝阳区金盏乡皮村18号,2,{'北京市朝阳区金盏乡皮村18号': 2}
5655,5656,北京市朝阳区金盏乡马各庄村南工业区A区七号院,3,"{'北京市朝阳区金盏乡马各庄村南工业区A区七号院': 3, '北京市朝阳区马格庄村': 1}"
